"","sample_name","cluster_color","cluster_order","cluster_label","class_color","class_order","class_label","subclass_color","subclass_order","subclass_label","full_genotype_label","donor_sex_label","region_label","cortical_layer_label","cell_type_accession_label","external_donor_name_label"
"F1S4_170323_048_H01","F1S4_170323_048_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"F","MTG","L3","CS1910121114","H200.1023"
"F1S4_170321_145_D01","F1S4_170321_145_D01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","MTG","L6","CS1910121098","H200.1030"
"F1S4_170321_145_H01","F1S4_170321_145_H01","#A77B6E",119,"Peri L1-6 MUSTN1","#17994B",3,"Non-neuronal","#992E8E",18,"Pericyte",NA,"M","MTG","L6","CS1910121119","H200.1030"
"F1S4_170323_054_B01","F1S4_170323_054_B01","#EA2C44",49,"Inh L2-4 PVALB C8orf4","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"F","MTG","L3","CS1910121049","H200.1023"
"F1S4_170329_047_H01","F1S4_170329_047_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","MTG","L6","CS1910121116","H200.1025"
"F1S4_170321_153_H01","F1S4_170321_153_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","MTG","L6","CS1910121114","H200.1030"
"F1S4_170321_154_F01","F1S4_170321_154_F01","#BFC124",75,"Exc L6 THEMIS LINC00343","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","MTG","L6","CS1910121075","H200.1030"
"F1S4_170323_056_E01","F1S4_170323_056_E01","#E170FE",32,"Inh L2-5 VIP TOX2","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","MTG","L3","CS1910121032","H200.1023"
"F1S4_170329_050_B01","F1S4_170329_050_B01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","MTG","L6","CS1910121098","H200.1025"
"F1S4_170323_144_F01","F1S4_170323_144_F01","#7F48B8",100,"Exc L6 FEZF2 SLITRK6","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","MTG","L6","CS1910121100","H200.1023"
"F1S4_170329_005_C01","F1S4_170329_005_C01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","MTG","L6","CS1910121098","H200.1025"
