gene_symbol,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000013563,FALSE,DNASE1L1,NCBITaxon:9606,gene
ENSG00000013573,FALSE,DDX11,NCBITaxon:9606,gene
ENSG00000013583,FALSE,HEBP1,NCBITaxon:9606,gene
ENSG00000013588,FALSE,GPRC5A,NCBITaxon:9606,gene
ENSG00000013619,FALSE,MAMLD1,NCBITaxon:9606,gene
ENSG00000013725,FALSE,CD6,NCBITaxon:9606,gene
ENSG00000013810,FALSE,TACC3,NCBITaxon:9606,gene
ENSG00000014123,FALSE,UFL1,NCBITaxon:9606,gene
ENSG00000014138,FALSE,POLA2,NCBITaxon:9606,gene
ENSG00000014164,FALSE,ZC3H3,NCBITaxon:9606,gene
ENSG00000014216,FALSE,CAPN1,NCBITaxon:9606,gene
ENSG00000014257,FALSE,ACP3,NCBITaxon:9606,gene
ENSG00000014641,FALSE,MDH1,NCBITaxon:9606,gene
ENSG00000014824,FALSE,SLC30A9,NCBITaxon:9606,gene
ENSG00000014914,FALSE,MTMR11,NCBITaxon:9606,gene
ENSG00000014919,FALSE,COX15,NCBITaxon:9606,gene
ENSG00000015133,FALSE,CCDC88C,NCBITaxon:9606,gene
ENSG00000015153,FALSE,YAF2,NCBITaxon:9606,gene
ENSG00000015171,FALSE,ZMYND11,NCBITaxon:9606,gene
ENSG00000015285,FALSE,WAS,NCBITaxon:9606,gene
ENSG00000015413,FALSE,DPEP1,NCBITaxon:9606,gene
ENSG00000015475,FALSE,BID,NCBITaxon:9606,gene
ENSG00000015479,FALSE,MATR3_ENSG00000015479,NCBITaxon:9606,gene
ENSG00000015520,FALSE,NPC1L1,NCBITaxon:9606,gene
ENSG00000015532,FALSE,XYLT2,NCBITaxon:9606,gene
ENSG00000015568,FALSE,RGPD5,NCBITaxon:9606,gene
ENSG00000015592,FALSE,STMN4,NCBITaxon:9606,gene
ENSG00000015676,FALSE,NUDCD3,NCBITaxon:9606,gene
ENSG00000016082,FALSE,ISL1,NCBITaxon:9606,gene
ENSG00000016391,FALSE,CHDH,NCBITaxon:9606,gene
ENSG00000016402,FALSE,IL20RA,NCBITaxon:9606,gene
ENSG00000016490,FALSE,CLCA1,NCBITaxon:9606,gene
ENSG00000016602,FALSE,CLCA4,NCBITaxon:9606,gene
ENSG00000016864,FALSE,GLT8D1,NCBITaxon:9606,gene
ENSG00000017260,FALSE,ATP2C1,NCBITaxon:9606,gene
ENSG00000017427,FALSE,IGF1,NCBITaxon:9606,gene
ENSG00000017483,FALSE,SLC38A5,NCBITaxon:9606,gene
ENSG00000017797,FALSE,RALBP1,NCBITaxon:9606,gene
ENSG00000018189,FALSE,RUFY3,NCBITaxon:9606,gene
ENSG00000018236,FALSE,CNTN1,NCBITaxon:9606,gene
ENSG00000018280,FALSE,SLC11A1,NCBITaxon:9606,gene
ENSG00000018408,FALSE,WWTR1,NCBITaxon:9606,gene
ENSG00000018510,FALSE,AGPS,NCBITaxon:9606,gene
ENSG00000018610,FALSE,STEEP1,NCBITaxon:9606,gene
ENSG00000018625,FALSE,ATP1A2,NCBITaxon:9606,gene
ENSG00000018699,FALSE,TTC27,NCBITaxon:9606,gene
ENSG00000018869,FALSE,ZNF582,NCBITaxon:9606,gene
ENSG00000019102,FALSE,VSIG2,NCBITaxon:9606,gene
ENSG00000019144,FALSE,PHLDB1,NCBITaxon:9606,gene
ENSG00000019169,FALSE,MARCO,NCBITaxon:9606,gene
ENSG00000019186,FALSE,CYP24A1,NCBITaxon:9606,gene
ENSG00000019485,FALSE,PRDM11,NCBITaxon:9606,gene
ENSG00000019505,FALSE,SYT13,NCBITaxon:9606,gene
